url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,scaphandre,2024-12-03-11-57-23,10.0,14.372755699999999,,,,,,,,
about-blank,scaphandre,2024-12-03-11-57-40,10.0,16.203498,,,,,,,,
http://www.fedex.com,scaphandre,2024-12-03-12-58-25,10.0,16.2302884,,,,,,,,
http://www.bestbuy.com,scaphandre,2024-12-03-13-17-31,10.0,15.6424662,,,,,,,,
