url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,codecarbon,2024-12-08T10:51:18,10.002260904002467,5.86801029666696e-05,15.290756762119706,4.248799482370162e-05,0.0,0.0,5.827481746673584,1.619210814296798e-05,1.5704086516146055e-05,1.5699031187889412e-06
about:blank,codecarbon,2024-12-08T10:51:34,10.002814360996126,6.523542671689222e-05,17.650138977986284,4.9043595623733845e-05,0.0,0.0,5.827481746673584,1.619183109315836e-05,1.745843536882813e-05,1.745278192582674e-06
http://www.yahoo.com,codecarbon,2024-12-08T10:51:49,10.002851080003891,6.358203921752228e-05,17.055229541142985,4.739011041205842e-05,0.0,0.0,5.827481746673584,1.619192880546387e-05,1.701595249947175e-05,1.701060980035157e-06
http://www.aol.com,codecarbon,2024-12-08T11:16:55,10.0023988920002,6.485817931029154e-05,17.51467317780057,4.86663964330853e-05,0.0,0.0,5.827481746673584,1.619178287720624e-05,1.7357475663378873e-05,1.735224380918765e-06
