url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,scaphandre,2024-12-06-15-07-23,10.0,14.639018,,,,,,,,
about-blank,scaphandre,2024-12-06-15-07-39,10.0,16.704343,,,,,,,,
http://www.bitly.com,scaphandre,2024-12-06-16-06-23,10.0,15.6026142,,,,,,,,
http://www.rapidgator.net,scaphandre,2024-12-06-16-14-51,10.0,16.5401734,,,,,,,,
http://www.speedtest.net,scaphandre,2024-12-06-16-15-29,10.0,17.1705626,,,,,,,,
http://www.tinyurl.com,scaphandre,2024-12-06-16-25-28,10.0,15.9572394,,,,,,,,
http://www.xe.com,scaphandre,2024-12-06-16-30-59,10.0,16.6912522,,,,,,,,
http://www.chatgpt.com,scaphandre,2024-12-06-16-46-17,10.0,16.4971384,,,,,,,,
