url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,codecarbon,2024-12-07T10:02:54,10.003124654998828,5.863454790000405e-05,15.274230690797628,4.244248339840308e-05,0.0,0.0,5.827481746673584,1.6192064501600974e-05,1.5691894978094885e-05,1.568658266197675e-06
about:blank,codecarbon,2024-12-07T10:03:10,10.003399369001272,6.664627167828058e-05,18.157581372539635,5.045421147444832e-05,0.0,0.0,5.827481746673584,1.6192060203832256e-05,1.7836008519084808e-05,1.7829756568435704e-06
http://www.slideshare.net,codecarbon,2024-12-07T10:25:17,10.00281537400224,6.799829557715357e-05,18.644203795772476,5.180616477823245e-05,0.0,0.0,5.827481746673584,1.61921307989209e-05,1.819783985894884e-05,1.819184212320867e-06
http://www.deviantart.com,codecarbon,2024-12-07T10:28:18,10.00303421499848,6.82050073304739e-05,18.7188102537028,5.201313105491351e-05,0.0,0.0,5.827481746673584,1.6191876275560178e-05,1.8253160471795983e-05,1.82471307767708e-06
