url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,codecarbon,2024-12-07T11:45:13,10.002756462999969,5.8865084361066174e-05,15.357552763398632,4.267316774961803e-05,0.0,0.0,5.827481746673584,1.6191916611448145e-05,1.5753591606877253e-05,1.5748549049034566e-06
about:blank,codecarbon,2024-12-07T11:45:28,10.00252086099863,6.61925210591904e-05,17.994901715898873,5.000072222276783e-05,0.0,0.0,5.827481746673584,1.6191798836422566e-05,1.7714574870902658e-05,1.7709243005669595e-06
http://www.slideshare.net,codecarbon,2024-12-07T12:08:02,10.003173725002853,6.53816612092746e-05,17.704020038331105,4.919066574139014e-05,0.0,0.0,5.827481746673584,1.6190995467884467e-05,1.74975709361484e-05,1.749270894790067e-06
http://www.deviantart.com,codecarbon,2024-12-07T12:11:00,10.002831854999386,6.844484170843382e-05,18.80549599501023,5.22532284692144e-05,0.0,0.0,5.827481746673584,1.6191613239219206e-05,1.8317345427694377e-05,1.8311632758609823e-06
