url,tool,timestamp,duration,energy,cpu_power,cpu_energy,gpu_power,gpu_energy,ram_power,ram_energy,emissions,emissions_rate
os,codecarbon,2024-12-08T04:59:46,10.003098856002907,5.853974187506337e-05,15.239023810382974,4.2346849710786505e-05,0.0,0.0,5.827481746673584,1.6192892164276867e-05,1.566652280008821e-05,1.5660378602453412e-06
about:blank,codecarbon,2024-12-08T05:00:01,10.003674364998004,6.491128223330586e-05,17.53324924145225,4.871926091982223e-05,0.0,0.0,5.827481746673584,1.6192021313483642e-05,1.7371687173841782e-05,1.7365828130976375e-06
http://www.newgrounds.com,codecarbon,2024-12-08T05:14:16,10.002953503004392,6.600349309111462e-05,17.926458789782902,4.981164568261705e-05,0.0,0.0,5.827481746673584,1.619184740849779e-05,1.7663986828030218e-05,1.7658088182500298e-06
http://www.bet365.com,codecarbon,2024-12-08T05:36:57,10.003175470003043,7.832172076351323e-05,22.359626077931708,6.212965914813295e-05,0.0,0.0,5.827481746673584,1.6192061615380492e-05,2.0960615554172727e-05,2.095395589457586e-06
http://www.4399.com,codecarbon,2024-12-08T06:46:13,10.002003811008764,6.730624478225311e-05,18.39557359641616,5.111436200256822e-05,0.0,0.0,5.827481746673584,1.6191882779686625e-05,1.8012631841116296e-05,1.8007100465004057e-06
